nodeID,nodeName,class,gender,classID,genderID
206,1819,MP*2,M,5,1
207,1828,MP*2,M,5,1
208,1870,MP*2,M,5,1
209,1894,MP*2,F,5,0
210,9,PC,M,6,1
211,15,PC,M,6,1
212,21,PC,M,6,1
213,45,PC,F,6,0
214,48,PC,M,6,1
215,71,PC,M,6,1
216,79,PC,F,6,0
217,80,PC,F,6,0
218,87,PC,F,6,0
219,89,PC,M,6,1
220,92,PC,M,6,1
221,120,PC,F,6,0
222,134,PC,F,6,0
223,172,PC,F,6,0
224,194,PC,M,6,1
225,200,PC,M,6,1
226,210,PC,F,6,0
227,211,PC,F,6,0
228,232,PC,F,6,0
229,242,PC,F,6,0
230,253,PC,M,6,1
231,285,PC,F,6,0
232,311,PC,M,6,1
233,322,PC,M,6,1
234,388,PC,F,6,0
235,413,PC,M,6,1
236,448,PC,M,6,1
237,450,PC,F,6,0
238,453,PC,M,6,1
239,468,PC,F,6,0
240,480,PC,M,6,1
241,488,PC,M,6,1
242,492,PC,M,6,1
243,496,PC,M,6,1
244,601,PC,F,6,0
245,706,PC,F,6,0
246,743,PC,M,6,1
247,751,PC,M,6,1
248,771,PC,M,6,1
249,791,PC,M,6,1
250,826,PC,M,6,1
251,845,PC,F,6,0
252,882,PC,M,6,1
253,998,PC,M,6,1
254,14,PC*,M,7,1
255,58,PC*,Unknown,7,2
256,85,PC*,F,7,0
257,115,PC*,M,7,1
258,116,PC*,M,7,1
259,131,PC*,M,7,1
260,176,PC*,F,7,0
261,181,PC*,M,7,1
262,185,PC*,M,7,1
263,190,PC*,M,7,1
264,209,PC*,Unknown,7,2
265,213,PC*,F,7,0
266,214,PC*,F,7,0
267,222,PC*,F,7,0
268,254,PC*,M,7,1
269,256,PC*,M,7,1
270,258,PC*,F,7,0
271,267,PC*,M,7,1
272,269,PC*,M,7,1
273,276,PC*,M,7,1
274,335,PC*,M,7,1
275,343,PC*,F,7,0
276,356,PC*,M,7,1
277,382,PC*,M,7,1
278,390,PC*,M,7,1
279,533,PC*,M,7,1
280,548,PC*,F,7,0
281,603,PC*,M,7,1
282,621,PC*,M,7,1
283,744,PC*,M,7,1
284,765,PC*,F,7,0
285,784,PC*,F,7,0
286,786,PC*,M,7,1
287,836,PC*,F,7,0
288,843,PC*,F,7,0
289,867,PC*,F,7,0
290,923,PC*,M,7,1
291,938,PC*,M,7,1
292,941,PC*,F,7,0
293,4,PSI*,M,8,1
294,32,PSI*,M,8,1
295,47,PSI*,F,8,0
296,90,PSI*,M,8,1
297,125,PSI*,F,8,0
298,227,PSI*,M,8,1
299,241,PSI*,M,8,1
300,246,PSI*,M,8,1
301,248,PSI*,M,8,1
302,306,PSI*,M,8,1
303,325,PSI*,M,8,1
304,333,PSI*,F,8,0
305,424,PSI*,M,8,1
306,434,PSI*,F,8,0
307,440,PSI*,F,8,0
308,446,PSI*,M,8,1
309,452,PSI*,M,8,1
310,491,PSI*,F,8,0
311,615,PSI*,M,8,1
312,622,PSI*,M,8,1
313,624,PSI*,M,8,1
314,647,PSI*,F,8,0
315,769,PSI*,M,8,1
316,790,PSI*,M,8,1
317,797,PSI*,F,8,0
318,798,PSI*,M,8,1
319,893,PSI*,M,8,1
320,909,PSI*,M,8,1
321,917,PSI*,M,8,1
322,920,PSI*,F,8,0
323,921,PSI*,F,8,0
324,959,PSI*,M,8,1
325,960,PSI*,M,8,1
326,977,PSI*,M,8,1
